1line-aa,1.0.0
3box,1.22.0
7zip-min,1.3.0
a-big-triangle,1.0.0
a2hs.js,0.4.0
abbrev,1.1.0
abs,1.3.0
abs-svg-path,0.1.0
absinthe__socket,0.2.0
absinthe__socket-apollo-link,0.2.0
absolute,0.0.1
absolute-url,1.2.0
abstract-leveldown,5.0.0
acc-wizard,
accedo__accedo-one,4.0.0
accept-language-parser,1.5.0
accepts,1.3.0
accessibility,3.0.0
accounting,0.4.0
accurate-interval,1.0.0
ace,
ace-diff,2.1.0
ackee-tracker,5.0.0
acl,0.4.0
acorn,4.0.0
actioncable,5.2.0
activedirectory2,1.2.0
activestorage,5.2.0
activex-access,14.0.0
activex-adodb,6.1.0
activex-adox,6.0.0
activex-dao,16.0.0
activex-diskquota,1.0.0
activex-excel,14.0.0
activex-faxcomexlib,1.0.0
activex-infopath,3.0.0
activex-interop,0.0.0
activex-iwshruntimelibrary,0.0.0
activex-libreoffice,5.3.0
activex-msforms,2.0.0
activex-mshtml,4.0.0
activex-msxml2,6.0.0
activex-office,16.0.0
activex-outlook,14.0.0
activex-powerpoint,14.0.0
activex-scripting,1.0.0
activex-shdocvw,1.1.0
activex-shell,1.0.0
activex-stdole,2.0.0
activex-vbide,14.0.0
activex-wia,2.0.0
activex-word,14.0.0
adal-angular,1.0.0
add-zero,1.0.0
add2home,2.0.5
addressparser,1.0.0
adeira__graphql-global-id,1.2.0
adeira__graphql-resolve-wrapper,0.2.0
adeira__js,1.2.0
adeira__murmur-hash,0.2.0
adeira__test-utils,0.6.0
adlib,3.0.0
adm-zip,0.4.0
admin-check,1.1.0
adobe__es-modules-middleware,1.1.0
adobe__node-fetch-retry,1.0.0
aes-js,3.1.0
aframe,1.0.0
ag-channel,4.0.0
ag-simple-broker,4.0.0
agent-base,4.2.0
agiledigital__mule-preview,2.1.0
agilite,6.4.0
ahoy.js,0.3.0
airbnb-prop-types,2.13.0
airbnb__node-memwatch,2.0.0
ajv-async,1.0.0
ajv-bsontype,1.0.0
ajv-merge-patch,4.1.0
ajv-pack,0.3.0
akamai-edgeworkers,1.0.0
akumina-core,5.0.0
ale-url-parser,0.13.0
alertify,0.3.11
alex,9.1.0
alexa-voice-service,0.0.0
algebra.js,0.2.0
ali-app,1.0.0
ali-oss,6.0.0
align-text,1.0.0
alks-node,0.9.0
all-the-cities,3.1.0
all-the-package-names,1.3744.0
alloy,1.14.0
allure-js-commons,0.0.0
almost-equal,1.1.0
alpha-bravo,2.0.0
alpha-shape,1.0.0
alt,0.16.10
amap-js-api,1.4.0
amap-js-api-arrival-range,1.4.0
amap-js-api-autocomplete,1.4.0
amap-js-api-city-search,1.4.0
amap-js-api-control-bar,1.4.0
amap-js-api-district-search,1.4.0
amap-js-api-driving,1.4.0
amap-js-api-geocoder,1.4.0
amap-js-api-geolocation,1.4.0
amap-js-api-heatmap,1.4.0
amap-js-api-indoor-map,1.4.0
amap-js-api-line-search,1.4.0
amap-js-api-map-type,1.4.0
amap-js-api-map3d,1.4.0
amap-js-api-overview,1.4.0
amap-js-api-place-search,1.4.0
amap-js-api-riding,1.4.0
amap-js-api-scale,1.4.0
amap-js-api-station-search,1.4.0
amap-js-api-tool-bar,1.4.0
amap-js-api-transfer,1.4.0
amap-js-sdk,1.4.0
amazon-cognito-auth-js,1.2.0
amazon-connect-streams,1.4.0
amazon-dax-client,1.2.0
amazon-product-api,
amcharts,3.21.0
amp,0.3.0
amp-message,0.1.0
amphtml-validator,1.0.0
amplifier,1.1.0
amplify,1.1.0
amplify-deferred,1.1.0
amplitude-js,8.0.0
amqp,0.2.0
amqp-connection-manager,2.0.0
amqp-rpc,0.0.8
amqplib,0.8.0
analytics-node,3.1.0
anchor-js,4.2.0
android-device-list,1.2.0
android-versions,1.6.0
angular,1.8.0
angular-agility,
angular-animate,1.5.0
angular-aria,1.7.0
angular-block-ui,0.2.0
angular-bootstrap-calendar,
angular-bootstrap-lightbox,0.12.0
angular-breadcrumb,0.4.1
angular-clipboard,1.5.0
angular-cookie,4.1.0
angular-cookies,1.8.0
angular-deferred-bootstrap,0.1.9
angular-desktop-notification,1.1.0
angular-dialog-service,5.2.8
angular-environment,1.0.4
angular-es,0.0.3
angular-feature-flags,1.4.0
angular-file-saver,1.1.0
angular-file-upload,2.5.0
angular-formly,7.2.4
angular-fullscreen,1.0.1
angular-gettext,2.1.1
angular-google-analytics,1.1.8
angular-gridster,0.13.0
angular-growl-v2,0.7.0
angular-hotkeys,1.7.0
angular-http-auth,1.2.1
angular-httpi,
angular-idle,1.1.1
angular-jwt,0.0.8
angular-load,0.4.1
angular-loading-bar,
angular-local-storage,0.7.0
angular-localforage,1.2.2
angular-locker,2.0.3
angular-material,1.1.0
angular-media-queries,0.6.0
angular-meteor,0.8.0
angular-mocks,1.7.0
angular-modal,0.5.0
angular-notifications,
angular-notify,2.5.0
angular-oauth2,4.1.0
angular-odata-resources,
angular-pdfjs-viewer,1.0.0
angular-permission,2.3.6
angular-promise-tracker,2.2.2
angular-q-extras,1.1.0
angular-q-spread,
angular-resource,1.5.0
angular-route,1.7.0
angular-sanitize,1.8.0
angular-scenario,1.3.0
angular-scroll,
angular-signalr-hub,1.5.0
angular-spinner,0.5.1
angular-storage,0.0.11
angular-strap,2.3.0
angular-toastr,1.6.0
angular-toasty,1.0.2
angular-tooltips,1.2.0
angular-translate,2.16.0
angular-ui-bootstrap,1.0.0
angular-ui-notification,
angular-ui-router,1.1.38
angular-ui-scroll,1.3.1
angular-ui-sortable,0.13.0
angular-ui-tree,2.8.0
angular-websocket,2.0.0
angular-wizard,1.1.1
angular-xeditable,0.2.0
angular.throttle,
angularfire,0.8.2
angularlocalstorage,0.1.7
angulartics,1.4.0
animation-frame,0.1.7
anime-quotes-api,1.2.0
animejs,3.1.0
annyang,2.6.0
ansi,0.3.0
ansi-escape-sequences,4.0.0
ansicolors,
antlr4,4.7.0
antlr4-autosuggest,0.0.0
any-db,2.1.0
any-db-transaction,2.2.1
anyproxy,4.1.0
aos,3.0.0
apex.js,2.0.0
api-error-handler,1.0.0
apicache,1.2.0
apicalypse,0.1.0
apidoc,0.22.0
apigee-access,
apimocker,1.1.0
apollo-upload-client,14.1.0
apostrophe,2.67.0
app-module-path,2.2.0
app-root-dir,0.1.0
app-root-path,1.2.1
appcache-webpack-plugin,1.4.0
appdmg,0.5.0
append-query,2.0.0
appframework,2.0.0
appgeist__ensure-dir,1.1.0
apple-mapkit-js-browser,5.50.0
apple-music-api,0.4.0
apple-signin-api,1.5.0
applepayjs,3.0.0
appletvjs,
apptimize__apptimize-web-sdk,1.2.0
aqb,2.1.0
arangodb,3.5.0
arbiter,1.0.0
arcgis-js-api,4.19.0
arcgis-rest-api,10.4.0
arcgis-to-geojson-utils,1.0.0
architect,0.1.0
architect__functions,3.13.0
architect__sandbox,3.3.0
archiver,5.1.0
archy,
arconnect,1.0.0
are-we-there-yet,1.1.0
are.na,0.1.0
argon2-browser,1.12.0
argparse,2.0.0
args,3.0.0
argv,
ari-client,2.2.0
aria-query,4.2.0
arr-diff,4.0.0
arr-union,3.1.0
