accepts,"mocha --reporter spec --check-leaks --bail test/"
acorn,"rollup -c acorn/rollup.config.js && rollup -c acorn-loose/rollup.config.js && node test/run.js && node test/lint.js"
adm-zip,"mocha -R spec"
ajv,"rm -rf spec/_json/*.js && node scripts/jsontests && prettier --list-different "./**/*.{json,yaml,js,ts}" && eslint "lib/**/*.ts" "spec/**/*.*s" scripts --ignore-pattern spec/JSON-Schema-Test-Suite && npm link && npm link ajv && nyc npm run test-spec"
@alifd-next,"node --max_old_space_size=8192 ./scripts/test/index.js"
amqplib,"make test"
angular-animate,""
@angular-animations,""
@angular-cdk,"node ./scripts/run-component-tests.js"
@angular-common,""
@angular-compiler-cli,""
@angular-compiler,""
@angular-core,""
@angular-devkit-core,""
@angular-devkit-schematics,""
@angular-forms,""
@angular-http,""
@angular-material,"node ./scripts/run-component-tests.js"
angular,""
@angular-platform-browser-dynamic,""
@angular-platform-browser,""
@angular-platform-server,""
@angular-router,""
ansi-colors,"mocha"
ansi-escapes,"xo && ava && tsd"
antd,"node ./scripts/generate-version && jest --config .jest.js --cache=false"
apollo-cache-inmemory,"jest --config ./config/jest.config.js"
apollo-client,"jest --config ./config/jest.config.js"
apollo-link-http,"lerna run test"
apollo-link,"lerna run test"
app-root-path,"nyc mocha -R spec"
archiver,"mocha --reporter dot"
argparse,"eslint . && nyc mocha"
arrify,"xo && ava && tsd"
assert,"babel assert.js test.js --out-dir build && babel internal --out-dir build/internal && babel test --out-dir build/test && node build/test.js"
assert-plus,"./node_modules/.bin/tape tests/*.js | ./node_modules/.bin/faucet"
async,"eslint --fix lib/ test/ perf/memory.js perf/suites.js perf/benchmark.js support/build/ support/*.js karma.conf.js && mocha"
async-validator,"jest"
autoprefixer,"jest --coverage && eslint . bin/* && check-dts && size-limit"
awesome-typescript-loader,"rimraf .test && mocha --trace-warnings --timeout 30000 --exit dist/__test__"
aws-sdk,"node ./scripts/composite-test.js"
axios,"grunt test"
@babel-cli,"make test"
@babel-core,"make test"
babel-eslint,"eslint . && cd test && mocha specs && cd -"
babel-helper-vue-jsx-merge-props,""
babelify,"tap test/*.js"
babel-jest,"yarn lint && yarn jest"
babel-loader,"eslint src test && cross-env BABEL_ENV=test yarn run build && nyc ava"
@babel-parser,"make test"
babel-plugin-add-module-exports,"mocha --require babel-register"
babel-plugin-dynamic-import-node,"eslint . && tape --require airbnb-js-shims --require babel-register test"
babel-plugin-import,"umi-test --coverage"
babel-plugin-lodash,"mocha --check-leaks --require @babel/register"
babel-plugin-module-resolver,"eslint src test && jest"
babel-plugin-named-asset-import,"cd packages/react-scripts && node bin/react-scripts.js test"
@babel-plugin-proposal-class-properties,"make test"
@babel-plugin-proposal-decorators,"make test"
@babel-plugin-proposal-export-default-from,"make test"
@babel-plugin-proposal-export-namespace-from,"make test"
@babel-plugin-proposal-object-rest-spread,"make test"
babel-plugin-transform-decorators-legacy,"babel-node node_modules/.bin/_mocha -- test"
babel-plugin-transform-react-remove-prop-types,"eslint . && echo "eslint: no lint errors" && mocha"
@babel-plugin-transform-runtime,"make test"
@babel-polyfill,"make test"
@babel-preset-env,"make test"
babel-preset-env,"rimraf lib && babel src -d lib && flow && mocha ./test --compilers js:babel-register -t 10000"
babel-preset-react-app,"cd packages/react-scripts && node bin/react-scripts.js test"
@babel-preset-react,"make test"
@babel-preset-typescript,"make test"
@babel-register,"make test"
@babel-runtime-corejs2,"make test"
@babel-runtime,"make test"
@babel-traverse,"make test"
@babel-types,"make test"
